Metal,SSA,Dap,Rct,M,Cation,Anion,PW,CD,Cs,Morphology_Categorized
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,1.0,431.82,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,2.0,398.88,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,3.0,312.18,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,5.0,272.0,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,7.0,230.7,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,8.0,156.88,flower
Sn,64.8,7.5,0.5,2.0,K,OH,0.5,10.0,126.2,flower
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,1.0,112.72,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,2.0,104.95,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,3.0,67.76,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,5.0,67.0,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,7.0,44.24,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,8.0,35.36,Nanosheet/Sheet
Sn,27.4,15.9,0.5,2.0,K,OH,0.5,10.0,28.8,Nanosheet/Sheet
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,1.0,390.38,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,2.0,366.24,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,3.0,247.2,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,5.0,240.3,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,7.0,171.52,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,8.0,121.04,Nanoparticles/Regular Shapes
Sn,32.9,5.1,0.6,2.0,K,OH,0.5,10.0,100.4,Nanoparticles/Regular Shapes
Sn,17.5,,,3.5,K,OH,0.5,1.0,89.4,Nanosheet/Sheet
Sn,17.5,,,3.5,K,OH,0.5,2.0,71.3,Nanosheet/Sheet
Sn,17.5,,,3.5,K,OH,0.5,4.0,64.9,Nanosheet/Sheet
Sn,17.5,,,3.5,K,OH,0.5,10.0,50.6,Nanosheet/Sheet
Sn,,,3.56,1.0,K,Cl,0.32,0.08,524.5,flower
Sn,,,3.56,1.0,K,Cl,0.32,0.15,285.0,flower
Sn,,,3.56,1.0,K,Cl,0.32,0.23,239.7,flower
Sn,,,3.56,1.0,K,Cl,0.32,0.31,217.9,flower
Sn,,,3.56,1.0,K,Cl,0.32,0.38,215.9,flower
Sn,10.68,,3.69,1.0,K,Cl,0.8,1.0,125.0,flower
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,1.0,464.0,Nanoparticles/Regular Shapes
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,1.5,440.0,Nanoparticles/Regular Shapes
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,2.0,424.0,Nanoparticles/Regular Shapes
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,2.5,408.0,Nanoparticles/Regular Shapes
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,3.0,400.0,Nanoparticles/Regular Shapes
Sn,52.44,12.6,2.13,2.0,K,OH,0.45,5.0,320.0,Nanoparticles/Regular Shapes
Sn,25.0,6.08,,1.0,Li,SO4,1.0,1.0,45.65,Others
Sn,25.0,6.08,,1.0,Na,SO4,1.0,1.0,18.4,Others
Sn,25.0,6.08,,1.0,K,OH,1.0,1.0,62.85,Others
Sn,42.0,7.62,,1.0,Li,SO4,1.0,1.0,112.0,flower
Sn,42.0,7.62,,1.0,Na,SO4,1.0,1.0,19.74,flower
Sn,42.0,7.62,,1.0,K,OH,1.0,1.0,89.14,flower
Sn,72.4,,,1.0,Na,OH,0.8,3.0,165.2,Others
Sn,72.4,,,1.0,Na,OH,0.8,3.5,160.0,Others
Sn,72.4,,,1.0,Na,OH,0.8,5.0,131.3,Others
Sn,72.4,,,1.0,Na,OH,0.8,10.0,122.0,Others
Sn,72.4,,,1.0,Na,OH,0.8,20.0,108.0,Others
Co,127.6,,8.2,2.0,K,OH,0.6,1.0,1301.0,Hollow Structures
Co,127.6,,8.2,2.0,K,OH,0.6,2.5,1073.0,Hollow Structures
Co,127.6,,8.2,2.0,K,OH,0.6,5.0,883.0,Hollow Structures
Co,127.6,,8.2,2.0,K,OH,0.6,10.0,650.0,Hollow Structures
Co,127.6,,8.2,2.0,K,OH,0.6,20.0,450.0,Hollow Structures
Co,17.46,,,2.0,K,OH,0.6,1.0,236.5,Nanoparticles/Regular Shapes
Co,17.46,,,2.0,K,OH,0.6,2.0,225.3,Nanoparticles/Regular Shapes
Co,17.46,,,2.0,K,OH,0.6,5.0,203.3,Nanoparticles/Regular Shapes
Co,17.46,,,2.0,K,OH,0.6,10.0,175.0,Nanoparticles/Regular Shapes
Co,17.46,,,2.0,K,OH,0.6,15.0,152.5,Nanoparticles/Regular Shapes
Co,21.0,,,2.0,K,OH,0.7,2.0,624.0,Others
Co,66.416,,0.18,2.0,K,OH,0.6,1.0,718.7,flower
Co,66.416,,0.18,2.0,K,OH,0.6,2.0,696.7,flower
Co,66.416,,0.18,2.0,K,OH,0.6,5.0,620.8,flower
Co,66.416,,0.18,2.0,K,OH,0.6,10.0,536.7,flower
Co,66.416,,0.18,2.0,K,OH,0.6,20.0,476.7,flower
Co,29.3,,1.3,6.0,K,OH,0.65,0.5,654.0,Nanoparticles/Regular Shapes
Co,29.3,,1.3,6.0,K,OH,0.65,1.0,595.0,Nanoparticles/Regular Shapes
Co,29.3,,1.3,6.0,K,OH,0.65,5.0,499.0,Nanoparticles/Regular Shapes
Co,36.31,53.25,,6.0,K,OH,0.4,0.5,996.16,Others
Co,36.31,53.25,,6.0,K,OH,0.4,1.0,986.95,Others
Co,36.31,53.25,,6.0,K,OH,0.4,2.0,979.9,Others
Co,36.31,53.25,,6.0,K,OH,0.4,3.0,972.75,Others
Co,36.31,53.25,,6.0,K,OH,0.4,4.0,966.0,Others
Co,36.31,53.25,,6.0,K,OH,0.4,5.0,957.5,Others
Co,113.9,6.3278,1.02,2.0,K,OH,0.5,1.0,936.0,Hollow Structures
Co,113.9,6.3278,1.02,2.0,K,OH,0.5,2.0,883.2,Hollow Structures
Co,113.9,6.3278,1.02,2.0,K,OH,0.5,5.0,810.0,Hollow Structures
Co,113.9,6.3278,1.02,2.0,K,OH,0.5,10.0,746.0,Hollow Structures
Co,113.9,6.3278,1.02,2.0,K,OH,0.5,20.0,686.4,Hollow Structures
Co,56.6,6.36,0.45,8.0,K,OH,0.5,0.5,568.0,Hollow Structures
Co,56.6,6.36,0.45,8.0,K,OH,0.5,1.0,499.0,Hollow Structures
Co,56.6,6.36,0.45,8.0,K,OH,0.5,2.0,421.0,Hollow Structures
Co,56.6,6.36,0.45,8.0,K,OH,0.5,5.0,372.0,Hollow Structures
Co,67.08,26.6,,3.0,K,OH,0.5,1.0,426.6,Nanoparticles/Regular Shapes
Co,67.08,26.6,,3.0,K,OH,0.5,10.0,404.8,Nanoparticles/Regular Shapes
Ni,201.38,12.75,,3.0,K,OH,0.5,1.0,951.6,Nanoparticles/Regular Shapes
Ni,201.38,12.75,,3.0,K,OH,0.5,10.0,555.4,Nanoparticles/Regular Shapes
Ni,24.2,,0.61,2.0,Li,OH,0.55,5.0,1725.0,Hollow Structures
Ni,24.2,,0.61,2.0,Li,OH,0.55,10.0,1584.0,Hollow Structures
Ni,24.2,,0.61,2.0,Li,OH,0.55,15.0,1489.0,Hollow Structures
Ni,24.2,,0.61,2.0,Li,OH,0.55,20.0,1411.0,Hollow Structures
Ni,24.2,,0.61,2.0,Li,OH,0.55,30.0,1293.0,Hollow Structures
Ni,24.2,,0.61,2.0,Li,OH,0.55,40.0,1193.0,Hollow Structures
Ni,19.93,,0.11,6.0,K,OH,0.55,2.0,1072.6,Nanoparticles/Regular Shapes
Ni,19.93,,0.11,6.0,K,OH,0.55,3.0,912.7,Nanoparticles/Regular Shapes
Ni,19.93,,0.11,6.0,K,OH,0.55,5.0,744.6,Nanoparticles/Regular Shapes
Ni,19.93,,0.11,6.0,K,OH,0.55,7.0,618.5,Nanoparticles/Regular Shapes
Ni,19.93,,0.11,6.0,K,OH,0.55,10.0,480.7,Nanoparticles/Regular Shapes
Ni,6.31,,1.288,1.0,K,OH,0.55,1.0,352.2,Others
Ni,6.31,,1.288,1.0,K,OH,0.55,2.0,265.7,Others
Ni,6.31,,1.288,1.0,K,OH,0.55,5.0,183.6,Others
Ni,6.31,,1.288,1.0,K,OH,0.55,10.0,139.5,Others
Ni,6.31,,1.288,1.0,K,OH,0.55,20.0,106.8,Others
Ni,6.31,,1.288,1.0,K,OH,0.55,50.0,75.9,Others
Ni,66.5,,4.27,6.0,K,OH,0.45,0.5,566.0,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,1.0,536.9,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,2.0,382.7,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,4.0,218.6,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,6.0,112.9,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,8.0,47.8,Nanoparticles/Regular Shapes
Ni,66.5,,4.27,6.0,K,OH,0.45,10.0,28.8,Nanoparticles/Regular Shapes
Ni,11.41,,0.8,2.0,Li,OH,0.6,1.0,1355.0,flower
Ni,11.41,,0.8,2.0,Li,OH,0.6,2.0,1240.0,flower
Ni,11.41,,0.8,2.0,Li,OH,0.6,5.0,1133.0,flower
Ni,11.41,,0.8,2.0,Li,OH,0.6,10.0,1050.0,flower
Ni,11.41,,0.8,2.0,Li,OH,0.6,15.0,1000.0,flower
Ni,11.41,,0.8,2.0,Li,OH,0.6,20.0,967.0,flower
Ni,31.2,12.5,14.83,1.0,H,SO4,0.5,1.0,565.0,Nanoparticles/Regular Shapes
Ni,31.2,12.5,14.83,1.0,H,SO4,0.5,4.0,543.7,Nanoparticles/Regular Shapes
Ni,31.2,12.5,14.83,1.0,H,SO4,0.5,8.0,500.7,Nanoparticles/Regular Shapes
Ni,31.2,12.5,14.83,1.0,H,SO4,0.5,10.0,486.3,Nanoparticles/Regular Shapes
Ni,31.2,12.5,14.83,1.0,H,SO4,0.5,20.0,400.7,Nanoparticles/Regular Shapes
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,1.0,1020.2,Hollow Structures
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,2.0,821.2,Hollow Structures
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,3.0,728.7,Hollow Structures
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,5.0,643.6,Hollow Structures
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,7.0,601.8,Hollow Structures
Ni,59.2,24.4,0.24,6.0,K,OH,0.55,10.0,534.9,Hollow Structures
V,5.5,,,6.0,K,OH,0.5,1.0,152.0,Nanosheet/Sheet
V,5.5,,,6.0,K,OH,0.5,2.0,145.0,Nanosheet/Sheet
V,5.5,,,6.0,K,OH,0.5,5.0,136.0,Nanosheet/Sheet
V,5.5,,,6.0,K,OH,0.5,10.0,120.0,Nanosheet/Sheet
V,5.5,,,6.0,K,OH,0.5,15.0,90.0,Nanosheet/Sheet
V,11.17,,4.87,0.5,K,SO4,1.0,0.2,22.4,Nanosheet/Sheet
V,11.17,,4.87,0.5,K,SO4,1.0,0.4,15.4,Nanosheet/Sheet
V,11.17,,4.87,0.5,K,SO4,1.0,0.6,12.6,Nanosheet/Sheet
V,11.17,,4.87,0.5,K,SO4,1.0,0.8,7.8,Nanosheet/Sheet
V,11.17,,4.87,0.5,K,SO4,1.0,1.0,7.6,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,0.75,241.5,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,1.0,208.13,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,2.0,177.8,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,3.0,167.85,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,4.0,160.06,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,5.0,155.08,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,6.0,150.0,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,7.0,147.58,Nanosheet/Sheet
W,16.64,23.0,,2.0,K,OH,0.6,10.0,139.0,Nanosheet/Sheet
W,5.24,,,3.0,K,OH,0.55,1.0,261.8,Nanosheet/Sheet
W,5.24,,,3.0,K,OH,0.55,1.5,220.9,Nanosheet/Sheet
W,5.24,,,3.0,K,OH,0.55,2.0,163.6,Nanosheet/Sheet
W,5.24,,,3.0,K,OH,0.55,2.5,86.3,Nanosheet/Sheet
W,5.24,,,3.0,K,OH,0.55,3.0,65.4,Nanosheet/Sheet
W,39.89,,1.8,1.0,H,SO4,0.9,0.5,156.0,Nanosheet/Sheet
W,39.89,,1.8,1.0,H,SO4,0.9,0.8,113.3,Nanosheet/Sheet
W,39.89,,1.8,1.0,H,SO4,0.9,1.0,95.6,Nanosheet/Sheet
W,39.89,,1.8,1.0,H,SO4,0.9,3.0,74.3,Nanosheet/Sheet
W,39.89,,1.8,1.0,H,SO4,0.9,5.0,69.6,Nanosheet/Sheet
W,12.8,3.38,9.2,1.0,K,OH,0.8,0.25,243.8,flower
W,12.8,3.38,9.2,1.0,K,OH,0.8,0.5,236.0,flower
W,12.8,3.38,9.2,1.0,K,OH,0.8,1.0,228.2,flower
W,12.8,3.38,9.2,1.0,K,OH,0.8,2.0,220.0,flower
W,12.8,3.38,9.2,1.0,K,OH,0.8,5.0,208.0,flower
W,3.63,,9.87,2.0,K,OH,0.55,0.2,264.8,Nanoparticles/Regular Shapes
W,3.63,,9.87,2.0,K,OH,0.55,0.5,244.9,Nanoparticles/Regular Shapes
W,3.63,,9.87,2.0,K,OH,0.55,1.0,220.7,Nanoparticles/Regular Shapes
W,3.63,,9.87,2.0,K,OH,0.55,2.0,205.5,Nanoparticles/Regular Shapes
W,3.63,,9.87,2.0,K,OH,0.55,4.0,175.4,Nanoparticles/Regular Shapes
W,3.63,,9.87,2.0,K,OH,0.55,10.0,134.5,Nanoparticles/Regular Shapes
Mo,19.6,,4.6,1.0,Na,SO4,0.5,1.0,91.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,2.0,83.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,3.0,72.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,5.0,65.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,7.0,60.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,10.0,54.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,15.0,47.0,flower
Mo,19.6,,4.6,1.0,Na,SO4,0.5,20.0,39.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,1.0,100.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,2.0,89.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,3.0,83.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,5.0,77.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,7.0,72.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,10.0,66.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,15.0,58.0,flower
Mo,12.7,,2.6,1.0,Na,SO4,0.5,20.0,52.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,1.0,180.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,2.0,141.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,3.0,130.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,5.0,119.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,7.0,113.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,10.0,105.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,15.0,95.0,flower
Mo,19.5,,1.4,1.0,Na,SO4,0.5,20.0,86.0,flower
Mo,22.0,,0.58,1.0,H,SO4,0.6,0.5,148.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,1.0,136.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,2.0,123.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,5.0,113.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,10.0,102.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,20.0,97.0,Nanosheet/Sheet
Mo,22.0,,0.58,1.0,H,SO4,0.6,30.0,94.0,Nanosheet/Sheet
Mo,31.5,,28.0,1.0,Na,SO4,0.8,0.5,106.0,Others
Mo,31.5,,28.0,1.0,Na,SO4,0.8,6.0,41.2,Others
Mo,18.68,,,1.0,K,Cl,0.7,0.5,178.0,flower
Mo,18.68,,,1.0,K,Cl,0.7,1.0,168.0,flower
Mo,18.68,,,1.0,K,Cl,0.7,2.0,159.0,flower
Mo,18.68,,,1.0,K,Cl,0.7,4.0,148.0,flower
Mo,21.1,,3.1,1.0,Na,SO4,1.0,1.0,129.2,Nanosheet/Sheet
Mo,21.1,,3.1,1.0,Na,SO4,1.0,1.5,115.1,Nanosheet/Sheet
Mo,21.1,,3.1,1.0,Na,SO4,1.0,3.0,102.3,Nanosheet/Sheet
Mo,21.1,,3.1,1.0,Na,SO4,1.0,5.0,92.0,Nanosheet/Sheet
Mo,21.1,,3.1,1.0,Na,SO4,1.0,10.0,73.8,Nanosheet/Sheet
